Semester,WeekNum,Status
COM4077-N,11,P
COM4077-N,12,P
CIS4022-N,13,P
CAM4062-N,5,P
CAM4062-N,5,P
CAM4062-N,6,P
CAM4062-N,6,P
CAM4061-N,5,P
CAM4061-N,5,P
CAM4061-N,6,P
CAM4061-N,6,P
CAM4062-N,2,P
CAM4062-N,3,P
CAM4062-N,3,P
CAM4062-N,2,P
CAM4061-N,2,P
CAM4061-N,2,P
CAM4061-N,3,P
CAM4061-N,3,P
CAM4061-N,11,P
CAM4061-N,11,P
CAM4061-N,12,P
CAM4061-N,12,P
CAM4061-N,13,P
CAM4061-N,13,P
CAM4062-N,11,P
CAM4062-N,11,P
CAM4062-N,12,P
CAM4062-N,12,P
CAM4062-N,13,P
CAM4062-N,13,P
CAM4062-N,7,P
CAM4062-N,7,P
CAM4062-N,8,P
CAM4062-N,8,P
CAM4062-N,9,P
CAM4062-N,9,P
CAM4062-N,10,P
CAM4062-N,10,P
CAM4061-N,7,P
CAM4061-N,7,P
CAM4061-N,8,P
CAM4061-N,8,P
CAM4061-N,9,P
CAM4061-N,9,P
CAM4061-N,10,P
CAM4061-N,10,P
GAV4017-N,6,P
GAV4017-N,6,P
GAV4037-N,5,P
GAV4037-N,4,P
GAV4037-N,4,P
GAV4038-N,6,P
GAV4037-N,2,P
GAV4037-N,3,P
GAV4038-N,4,P
GAV4037-N,5,P
GAV4038-N,6,P
GAV4037-N,6,P
GAV4037-N,6,P
GAV4038-N,3,P
GAV4038-N,3,P
GAV4037-N,3,P
GAV4017-N,4,P
GAV4017-N,5,P
GAV4017-N,5,P
GAV4037-N,3,P
GAV4017-N,3,P
GAV4017-N,2,P
GAV4038-N,2,P
GAV4038-N,2,P
GAV4037-N,2,P
GAV4038-N,4,P
GAV4037-N,8,P
GAV4038-N,8,P
GAV4017-N,8,P
GAV4037-N,8,P
GAV4017-N,8,P
GAV4037-N,7,P
GAV4038-N,7,P
GAV4037-N,7,P
GAV4017-N,7,P
GAV4017-N,7,P
GAV4038-N,9,P
GAV4017-N,9,P
GAV4037-N,12,P
GAV4017-N,13,P
GAV4017-N,12,P
GAV4037-N,12,P
GAV4017-N,12,P
GAV4037-N,13,P
GAV4038-N,13,P
GAV4038-N,11,P
GAV4038-N,11,P
GAV4037-N,11,P
GAV4017-N,11,P
GAV4038-N,12,P
GAV4017-N,10,P
GAV4017-N,10,P
GAV4038-N,10,P
GAV4017-N,9,P
GAV4037-N,9,P
GAV4038-N,9,P
GAV4037-N,9,P
GAV4037-N,10,P
GAV4037-N,10,P
GAV4037-N,11,P
CAM1030-N,2,P
CAM1030-N,2,P
CAM1030-N,10,P
GAV1003-N,7,P
GAV1015-N,8,P
GAV1015-N,7,P
GAV1009-N,7,P
GAV1015-N,6,P
GAV1003-N,4,P
GAV1003-N,5,P
GAV1009-N,2,P
GAV1009-N,3,P
GAV1003-N,4,P
GAV1003-N,4,P
GAV1015-N,7,P
GAV1003-N,3,P
GAV1003-N,3,P
GAV1015-N,3,P
GAV1009-N,5,P
GAV1009-N,5,P
GAV1009-N,5,P
GAV1003-N,5,P
GAV1009-N,4,P
GAV1003-N,5,P
GAV1015-N,2,P
GAV1015-N,3,P
GAV1015-N,4,P
GAV1009-N,3,P
GAV1003-N,2,P
GAV1015-N,3,P
GAV1015-N,2,P
GAV1015-N,2,P
GAV1009-N,2,P
GAV1009-N,4,P
GAV1003-N,8,P
GAV1009-N,9,P
GAV1015-N,8,P
GAV1003-N,8,P
GAV1015-N,9,P
GAV1003-N,9,P
GAV1015-N,13,P
GAV1003-N,13,P
GAV1009-N,12,P
GAV1015-N,11,P
GAV1009-N,11,P
GAV1015-N,9,P
GAV1009-N,10,P
GAV4018-N,2,P
GAV4017-N,6,P
GAV4018-N,9,P
GAV4018-N,9,P
GAV4017-N,9,P
GAV4028-N,8,P
GAV4018-N,8,P
GAV4018-N,8,P
GAV4028-N,8,P
GAV4017-N,8,P
GAV4017-N,7,P
GAV4017-N,8,P
GAV4017-N,12,P
GAV4028-N,12,P
GAV4017-N,12,P
GAV4028-N,12,P
GAV4017-N,13,P
GAV4028-N,13,P
GAV4018-N,12,P
